date	close
2013-12-19-16-17-49	1387487869.34
2013-12-19-16-17-51	1387487871.02
2013-12-19-16-17-52	1387487872.58
2013-12-19-16-17-54	1387487874.18
2013-12-19-16-17-55	1387487875.74
2013-12-19-16-17-57	1387487877.54
2013-12-19-16-17-59	1387487879.09
2013-12-19-16-18-00	1387487880.66
2013-12-19-16-18-02	1387487882.19
2013-12-19-16-18-03	1387487883.74
2013-12-19-16-18-05	1387487885.31
2013-12-19-16-18-06	1387487886.86
2013-12-19-16-18-08	1387487888.39
2013-12-19-16-18-10	1387487890.14
2013-12-19-16-18-11	1387487891.68
2013-12-19-16-18-14	1387487894.69
2013-12-19-16-18-16	1387487896.26
2013-12-19-16-18-17	1387487897.8
2013-12-19-16-18-19	1387487899.5
2013-12-19-16-18-22	1387487902.51
2013-12-19-16-18-24	1387487904.06
2013-12-19-16-18-26	1387487906.05
2013-12-19-16-18-33	1387487913.06
2013-12-19-16-18-34	1387487914.61
2013-12-19-16-18-36	1387487916.2
2013-12-19-16-18-37	1387487917.76
2013-12-19-16-18-39	1387487919.32
2013-12-19-16-18-40	1387487920.86
2013-12-19-16-18-43	1387487923.87
2013-12-19-16-18-45	1387487925.4
2013-12-19-16-18-46	1387487926.94
2013-12-19-16-18-48	1387487928.5
2013-12-19-16-18-50	1387487930.06
2013-12-19-16-18-51	1387487931.64
2013-12-19-16-18-53	1387487933.37
2013-12-19-16-18-54	1387487934.92
2013-12-19-16-18-56	1387487936.49
2013-12-19-16-18-58	1387487938.06
2013-12-19-16-18-59	1387487939.63
2013-12-19-16-19-01	1387487941.49
2013-12-19-16-19-04	1387487944.49
2013-12-19-16-19-06	1387487946.05
2013-12-19-16-19-07	1387487947.62
2013-12-19-16-19-09	1387487949.2
2013-12-19-16-19-10	1387487950.76
2013-12-19-16-19-12	1387487952.31
2013-12-19-16-19-13	1387487953.86
2013-12-19-16-19-15	1387487955.43
2013-12-19-16-19-16	1387487956.96
2013-12-19-16-19-18	1387487958.79
2013-12-19-16-19-20	1387487960.37
2013-12-19-16-19-22	1387487962.08
2013-12-19-16-19-23	1387487963.66
2013-12-19-16-19-25	1387487965.28
2013-12-19-16-19-26	1387487966.86
2013-12-19-16-19-28	1387487968.43
2013-12-19-16-19-29	1387487970.0
